Date,Distance(miles),Calorie Count(cals),Steps(Count),Sedentary Minutes,Very Active Minutes,Lightly Active Minutes,Fairly Active Minutes,Minutes Asleep,Sleep Start(Time),Water Intake(oz)
2020-06-01,0.13556455295864,1435,306,950,0,0,0,550,23:00,68.0
2020-06-02,0.14354295906392,1436,324,960,0,0,0,300,00:40,56.0
2020-06-03,1.57898497712696,1545,3564,1020,10,0,0,470,21:00,65.0
2020-06-04,0.40803582065064,1460,921,1110,0,0,10,440,22:00,48.0
2020-06-05,0.28176698072432,1448,636,990,0,10,0,430,00:30,96.0
2020-06-06,0.26139221933864,1447,590,1100,0,10,0,340,23:50,72.0
2020-06-07,2.59974250278496,1648,5868,830,10,0,0,480,00:00,48.0
2020-06-08,2.96037391519792,1840,6682,867,10,20,33,630,22:00,48.0
2020-06-09,2.95063081490736,1804,6660,989,10,19,32,350,00:00,73.0
2020-06-10,3.31657495101192,1816,7486,1023,10,0,57,370,23:20,88.0
2020-06-11,0.16126446545976,1546,364,931,0,49,0,370,23:40,96.0
2020-06-12,2.4318293655708,1607,5489,1060,10,0,0,460,22:10,88.0
2020-06-13,0.1891764594044,1502,427,987,0,43,0,390,23:40,80.0
2020-06-14,3.73923784952224,1727,8440,1000,10,0,0,330,23:20,80.0
2020-06-15,1.4536046980052,1753,3281,1007,10,0,73,470,21:40,64.0
2020-06-16,4.48619437313736,1842,10126,1074,10,0,26,350,23:40,64.0
2020-06-17,4.03334526211968,1660,9040,1069,0,10,81,240,00:20,72.0
2020-06-18,0.66277936823488,1481,1496,960,1,0,9,380,23:20,72.0
2020-06-19,0.07796965717215999,1429,176,950,0,0,0,580,21:50,96.0
2020-06-20,0.19714865179776,1442,445,1010,0,10,0,400,23:20,95.0
2020-06-21,0.11031202771576,1433,249,870,0,0,0,570,23:00,46.0
2020-06-22,3.33075464161336,1690,7518,1140,10,0,0,290,23:00,83.0
2020-06-23,3.78575369695536,1661,8545,952,0,0,78,360,23:00,101.0
2020-06-24,5.11973822678864,1820,11556,1020,10,0,0,460,22:10,89.0
2020-06-25,4.91594090323648,1836,11096,930,10,0,0,420,23:00,70.0
2020-06-26,2.90809795681496,1945,6564,861,10,0,89,560,21:40,62.0
2020-06-27,7.91662938137136,1983,17869,1029,10,0,61,400,23:00,29.0
2020-06-28,8.68486165460056,2037,19603,788,10,0,92,390,00:30,58.0
2020-06-29,4.3802319437656,1783,9836,860,8,0,72,520,21:20,72.0
2020-06-30,1.15455117071944,1486,2606,873,0,27,0,560,21:40,64.0
2020-07-01,0.85063230700032,1490,1920,950,10,0,0,540,22:00,58.0
2020-07-02,4.66961693530384,1785,10540,910,10,0,0,520,23:00,86.0
2020-07-03,8.93001123098032,2059,20161,952,10,0,78,400,23:00,66.0
2020-07-04,7.6954336644431995,1950,17371,924,10,5,81,420,23:00,27.0
2020-07-05,1.79828551191952,1524,4059,1018,0,0,32,390,23:00,100.0
2020-07-06,5.20214447427168,1884,11742,1020,10,0,0,410,23:00,56.0
2020-07-07,7.17896857078856,1932,16204,758,10,0,102,530,23:00,90.0
2020-07-08,2.5851216386372,1580,5835,905,0,0,55,520,22:20,52.0
2020-07-09,0.15638670160256,1437,353,1020,0,0,0,420,23:00,54.0
2020-07-10,0.14575504050744,1435,329,1030,0,0,0,410,23:00,66.0
2020-07-11,3.83670613469936,1727,8660,1050,10,0,0,420,23:00,78.0
2020-07-12,7.94002400675016,1982,17931,914,10,0,66,410,23:40,58.0
2020-07-13,8.16249353462192,1922,18428,892,10,62,36,440,23:00,24.0
2020-07-14,4.56461141756776,1967,10303,942,10,78,0,440,23:00,52.0
2020-07-15,5.66732780345056,1798,12792,922,10,38,0,440,23:30,60.0
2020-07-16,6.42625814993552,1833,14505,994,10,76,0,390,23:00,68.0
2020-07-17,3.75651196865984,1666,8479,759,10,39,22,540,23:30,84.0
2020-07-18,4.68334923864704,1813,10571,1020,10,0,0,510,22:20,96.0
2020-07-19,8.57454341317288,1994,19354,864,10,0,96,410,00:10,76.0
2020-07-20,6.54100055425024,1809,14764,866,10,84,0,400,23:00,98.0
2020-07-21,0.0784170444304,1552,177,966,0,54,0,500,21:40,96.0
2020-07-22,0.19227710165248,1439,434,1010,0,0,0,430,23:00,56.0
2020-07-23,0.09347908212448,1431,211,930,0,0,0,510,23:00,88.0
2020-07-24,0.15240371226184,1437,344,1110,0,0,0,360,23:00,72.0
2020-07-25,0.17100756575032,1436,386,900,0,0,0,540,23:30,80.0
2020-07-26,0.2472125287372,1445,558,890,0,10,0,480,23:30,72.0
2020-07-27,0.23170310378488,1442,523,960,0,10,0,460,22:30,88.0
2020-07-28,3.12739849160752,1643,7059,940,10,0,0,530,22:20,48.0
2020-07-29,0.32518839962128,1587,734,847,0,73,0,580,23:00,56.0
2020-07-30,0.6986697682848,1477,1577,1120,10,0,0,310,00:20,48.0
2020-07-31,0.74119641266528,1478,1673,1120,10,0,0,290,01:00,104.0
2020-08-01,3.88676379792688,1693,8773,1090,10,0,0,350,23:40,16.0
2020-08-02,3.53987090256904,1828,7990,983,10,77,0,380,23:50,96.0
2020-08-03,0.15373344661272,1541,347,1048,0,52,0,340,00:30,64.0
2020-08-04,0.1550631809636,1436,350,1130,0,0,0,310,01:50,72.0
2020-08-05,3.4627773787776,1665,7816,960,10,0,0,470,00:30,72.0
2020-08-06,3.91024541527256,1807,8826,1043,10,57,0,270,01:10,64.0
2020-08-07,2.9940460200924,1787,6758,934,10,76,0,450,23:00,72.0
2020-08-08,3.94037570437264,1830,8894,982,10,58,0,420,23:30,72.0
2020-08-09,0.11829043382104,1588,267,1091,0,69,0,280,00:50,56.0
2020-08-10,1.25556748540288,1517,2834,1050,10,0,0,380,00:20,64.0
2020-08-11,0.1280335341116,1433,289,1110,0,0,0,300,00:40,72.0
2020-08-12,0.23259166458944,1444,525,1070,0,10,0,390,23:30,32.0
2020-08-13,0.19803721260232,1440,447,1070,0,10,0,300,00:20,96.0
2020-08-14,0.09613855082624,1432,217,1030,0,0,0,360,23:00,80.0
2020-08-15,0.21797080044168,1441,492,1080,0,10,0,400,22:10,88.0
2020-08-16,3.58284493420776,1679,8087,1090,10,0,0,400,23:00,72.0
2020-08-17,3.59701841109728,1836,8119,1040,10,70,0,320,01:00,48.0
2020-08-18,2.8850575130156,1726,6512,928,10,52,0,450,00:10,55.0
2020-08-19,4.13974265132584,1836,9344,862,10,58,0,510,00:40,90.0
2020-08-20,0.66765713209208,1647,1507,1011,10,89,0,330,00:10,62.0
2020-08-21,2.77030889498896,1623,6253,980,10,0,0,280,00:30,62.0
2020-08-22,3.31480404311472,1779,7482,1034,10,56,0,510,21:10,56.0
2020-08-23,4.64435819634904,1892,10483,1143,10,67,0,220,00:40,68.0
2020-08-24,2.99980613104224,1843,6771,959,10,91,0,320,00:00,72.0
2020-08-25,2.60860325598288,1741,5888,802,10,58,0,630,23:00,80.0
2020-08-26,0.12139107606912,1541,274,1050,0,50,0,280,02:20,86.0
2020-08-27,2.24309407971272,1580,5063,1060,10,0,0,370,23:00,84.0
2020-08-28,0.93923983897952,1579,2120,1059,10,41,0,330,23:00,62.0
2020-08-29,2.1380947756885598,1579,4826,890,10,0,0,420,23:00,46.0
2020-08-30,0.19537774390056,1530,441,1082,0,38,0,500,21:00,42.0
2020-08-31,0.12006134171824,1433,271,1170,0,0,0,270,01:00,66.0
